,title,created_utc
84,"School students have been protesting in demand for safer roads for 7 days in Bangladesh. Today, they were outnumbered and attacked by the student wing of the Bangladeshi government.",08-04-2018 08:48:10
85,Chinese tech billionaire Jack Ma was removed from his own reality TV show including the judging webpage and has not been seen in public for two months after falling foul of President Xi in anti-regulation speech,01-03-2021 10:10:15
86,"Sudan Ends 30 Years of Islamic Law by Separating Religion, State",09-05-2020 13:16:07
87,Black Lives Matter protesters in Bristol pull down statue of 17th century slave trader,06-07-2020 10:16:25
88,Large bitcoin payments to right-wing activists a month before Capitol riot linked to foreign account,01-14-2021 14:00:00
89,Protester shot in chest by live police round during Hong Kong National Day protests,10-01-2019 04:44:36
90,Iran's president says Trump White House 'afflicted by mental retardation',06-25-2019 04:30:42
91,"Unidentified masked men snatched the leading Belarusian opposition figure, Maria Kolesnikova, from the street in the centre of the capital, Minsk, on Monday and drove her away in a minivan, witnesses told local media.",09-07-2020 07:40:39
92,Canada Is Allowing People With Depression to Do Psychedelic Mushrooms,11-17-2020 14:31:02
93,"‘We will not be intimidated.’ Despite China threats, Lithuania moves to recognise Uighur genocide",04-06-2021 07:23:09
94,"Male escort exposes 36 actively gay priests in a file sent to Vatican containing erotic Whatsapp messages and photos. The allegations were compiled by a gay male escort who told local media he couldn’t put up with the priests’ ""hypocrisy"" any longer.",03-06-2018 06:06:14
95,"China breaching every act in genocide convention, says legal report on Uighurs",03-09-2021 06:37:51
96,"Mexico closes US border in Arizona to stop July 4th visitors, citing COVID-19 fears",07-03-2020 16:58:04
97,"Bill Gates, the world's second-richest person behind Jeff Bezos, wants rich people to pay higher taxes: “We've updated our tax system before to keep up with changing times, and we need to do it again, starting with raising taxes on people like me.""",01-04-2020 05:45:33
98,"Alan Turing, World War Two codebreaker and mathematician, will be the face of new Bank of England £50 note",07-15-2019 06:18:09
99,Philippines poised to lift age of consent for sex from 12 to 16 after decades of lobbying from children’s rights activists,12-21-2020 19:43:34
100,Facebook has lost $100 billion in 10 days — and now advertisers are pulling out,03-26-2018 14:15:04
101,Donald Trump's press secretary says police who attacked Australian journalists 'had right to defend themselves',06-04-2020 00:50:23
102,May's Brexit Deal Defeated 202-432,01-15-2019 14:40:12
103,New EU ‘right to repair’ laws require technology to last for a decade - New devices will also have to come with repair manuals and be made in such a way that they can be dismantled using conventional tools,03-02-2021 04:26:06
104,The Mexican state of Oaxaca has banned the sale of junk food and sugary drinks to children in an attempt to reduce high obesity and diabetes levels.,08-06-2020 08:14:12
